company_id;company_name;industry;location;business_description;website;email;revenue_sar
SA-027;Fakeeh Care Group;Healthcare;Jeddah;Healthcare provider operating hospitals, clinics and specialized medical services.;www.fakeehcare.com.sa;sales@fakeehcare.com.sa;93600000
SA-028;Cenomi Retail;Retail;Riyadh;Retail company operating a portfolio of international consumer brands in Saudi Arabia.;;;460900000
SA-029;Cenomi Centers;Real Estate;Riyadh;Shopping mall operator developing and managing retail destinations in Saudi Arabia.;;;727300000
SA-030;Dar Al Arkan;Real Estate;Riyadh;Real estate developer involved in residential and mixed-use developments.;;hello@daralarkan.com.sa;10758000000
SA-031;Roshn Group;Real Estate;Riyadh;Saudi real estate developer focused on large-scale residential communities.;;partners@roshngroup.com.sa;1078300000
SA-032;Kingdom Holding Company;Investment;Riyadh;Investment company with interests across hospitality, real estate, technology and financial assets.;www.kingdomhol.com.sa;hello@kingdomhol.com.sa;1587800000
SA-033;Al Othaim Markets;Retail;Riyadh;Saudi grocery retailer operating supermarkets and hypermarkets.;;hello@alothaimma.com.sa;547100000
SA-034;Panda Retail Company;Retail;Jeddah;Saudi supermarket and hypermarket operator serving consumers across the Kingdom.;www.pandaretai.com.sa;hello@pandaretai.com.sa;1192100000
SA-035;BinDawood Holding;Retail;Jeddah;Retail group operating supermarkets and hypermarkets in Saudi Arabia.;www.bindawoodh.com.sa;;446500000
SA-036;Lazurde Company;Consumer Goods;Riyadh;Jewelry manufacturer and retailer with operations in Saudi Arabia and regional markets.;www.lazurdecom.com.sa;;234000000
SA-037;Alhokair Fashion Retail;Retail;Riyadh;Fashion retailer operating multiple international brands in the region.;www.alhokairfa.com.sa;;5933100000
SA-038;United Electronics (eXtra);Retail;Riyadh;Consumer electronics and home appliance retailer with stores and online channels.;;contact@unitedelec.com.sa;5877500000
SA-039;Flynas;Airlines;Riyadh;Saudi low-cost airline operating domestic and international passenger services.;;hello@flynas.com.sa;7524600000
SA-040;Saudia;Airlines;Jeddah;Saudi national airline providing domestic and international passenger services.;;;4248300000
SA-041;Riyadh Air;Airlines;Riyadh;New Saudi airline being developed as part of the Kingdom's aviation expansion strategy.;www.riyadhair.com.sa;;780200000
SA-042;Saudi Ground Services;Aviation Services;Jeddah;Provider of ground handling services for airlines and airports in Saudi Arabia.;www.saudigroun.com.sa;;172800000
SA-043;SAL Saudi Logistics Services;Logistics;Riyadh;Logistics provider specializing in air cargo, ground handling and supply chain services.;www.salsaudilo.com.sa;;161500000
SA-044;SPL (Saudi Post Logistics);Logistics;Riyadh;Saudi logistics organization providing postal, logistics and fulfillment services.;www.spl(saudip.com.sa;;56100000
SA-045;Aramex;Logistics;Riyadh;Logistics and express delivery company providing transportation and supply chain services.;www.aramex.com.sa;;1617700000
SA-046;Naqel Express;Logistics;Riyadh;Saudi logistics company providing express delivery and e-commerce fulfillment services.;www.naqelexpre.com.sa;hello@naqelexpre.com.sa;276500000
SA-047;RedBox;Logistics;Riyadh;Saudi smart parcel delivery company providing automated pickup and delivery solutions.;www.redbox.com.sa;info@redbox.com.sa;2383800000
SA-048;STC Pay;Fintech;Riyadh;Saudi digital financial services platform providing payments and financial solutions.;www.stcpay.com.sa;;45300000
SA-049;Tamara;Fintech;Riyadh;Saudi fintech company providing buy-now-pay-later and payment solutions.;;hello@tamara.com.sa;1180700000
SA-050;Tabby;Fintech;Riyadh;Fintech company providing flexible payment and financial services across the region.;www.tabby.com.sa;;627900000
SA-051;Lean Technologies;Fintech;Riyadh;Financial technology company providing open banking and financial infrastructure solutions.;;;5000000
SA-052;Foodics;Software;Riyadh;Restaurant technology company providing cloud-based point-of-sale and business management solutions.;www.foodics.com.sa;partners@foodics.com.sa;30400000
SA-053;Salla;E-commerce Technology;Jeddah;Saudi e-commerce platform enabling merchants to create and operate online stores.;www.salla.com.sa;;1243300000
SA-054;Unifonic;Cloud Communications;Riyadh;Cloud communications company providing customer engagement and communication APIs.;;;105400000
SA-055;Mozn;Artificial Intelligence;Riyadh;Saudi AI company developing solutions for financial crime prevention and enterprise intelligence.;;;901200000
SA-056;Lucidya;Artificial Intelligence;Riyadh;Customer experience and social intelligence technology company serving enterprises.;;;41100000
SA-057;CNTXT;Data & AI;Riyadh;Data and AI solutions company supporting digital transformation and analytics initiatives.;www.cntxt.com.sa;;7400000
SA-058;Quant;Artificial Intelligence;Riyadh;Saudi technology company providing AI and data-driven solutions to organizations.;;;140400000
SA-059;SITE;Cybersecurity;Riyadh;Saudi digital transformation and cybersecurity company serving government and enterprises.;;;494400000
SA-060;Cyberani;Cybersecurity;Riyadh;Saudi cybersecurity company providing security services and solutions.;www.cyberani.com.sa;sales@cyberani.com.sa;38600000
SA-061;Sirar by stc;Cybersecurity;Riyadh;Cybersecurity company providing managed security and digital protection services.;;;15500000
SA-062;MDS SI;Information Technology;Riyadh;IT solutions provider serving enterprises with infrastructure, cloud and digital services.;;;270400000
SA-063;Ejada Systems;Information Technology;Riyadh;IT services company delivering digital transformation and technology solutions.;;partners@ejadasyste.com.sa;6666700000
SA-064;MIS;Information Technology;Riyadh;Saudi IT company providing systems integration, digital services and technology solutions.;;partners@mis.com.sa;2343100000
SA-065;Thakher Development;Real Estate;Jeddah;Real estate developer involved in large-scale development projects in Jeddah.;;;144500000
SA-066;Jabal Omar Development;Real Estate;Riyadh;Real estate developer focused on hospitality and mixed-use developments near Riyadh.;www.jabalomard.com.sa;sales@jabalomard.com.sa;274900000
SA-067;Saudi Tourism Company;Tourism;Riyadh;Tourism-focused company developing and operating tourism experiences and destinations.;www.sauditouri.com.sa;;17100000
SA-068;Almosafer;Travel Technology;Riyadh;Saudi travel services company providing consumer and corporate travel solutions.;;hello@almosafer.com.sa;6900000
SA-069;Seera Group;Travel;Riyadh;Travel and tourism company providing travel management and related services.;;contact@seeragroup.com.sa;542500000
SA-070;Careem Saudi;Technology;Riyadh;Technology platform providing mobility, delivery and digital services across the region.;www.careemsaud.com.sa;partners@careemsaud.com.sa;74500000
SA-071;HungerStation;Food Delivery;Riyadh;Food delivery platform connecting consumers with restaurants and delivery partners.;www.hungerstat.com.sa;;164800000
SA-072;Jahez;Food Delivery;Riyadh;Saudi food delivery platform connecting restaurants, customers and delivery services.;;;94100000
SA-073;Mrsool;Delivery Technology;Riyadh;Saudi on-demand delivery platform connecting customers with delivery providers.;;;13700000
SA-074;The Chefz;Food Technology;Riyadh;Saudi online platform for food ordering, restaurants and premium dining experiences.;www.thechefz.com.sa;info@thechefz.com.sa;241600000
SA-075;PIF;Investment;Riyadh;Saudi sovereign wealth fund investing in strategic sectors and large-scale projects.;;partners@pif.com.sa;117300000
SA-076;NEOM;Economic Development;Riyadh;Large-scale regional development project focused on technology, tourism and new industries.;www.neom.com.sa;partners@neom.com.sa;1679000000
SA-077;Diriyah Company;Real Estate & Tourism;Riyadh;Development company creating a major cultural, tourism and residential destination in Diriyah.;;info@diriyahcom.com.sa;106100000
SA-078;Qiddiya Investment Company;Entertainment & Tourism;Riyadh;Developer of Qiddiya, a large entertainment, sports and cultural destination.;www.qiddiyainv.com.sa;;92900000
SA-079;Red Sea Global;Tourism & Hospitality;Riyadh;Developer of large-scale tourism destinations in Saudi Arabia.;www.redseaglob.com.sa;;30900000
SA-080;ROSHN Group;Real Estate;Riyadh;Large Saudi residential developer focused on integrated communities and housing projects.;www.roshngroup.com.sa;;309200000
SA-081;SISCO Holding;Logistics & Infrastructure;Jeddah;Saudi investment and infrastructure group with interests in logistics and related services.;www.siscoholdi.com.sa;;5248200000
SA-082;NUPCO;Healthcare Supply Chain;Riyadh;Saudi healthcare procurement and supply chain organization serving the public health sector.;www.nupco.com.sa;partners@nupco.com.sa;1341400000
SA-083;Arabian Centres;Real Estate;Riyadh;Shopping center developer and operator with retail destinations across Saudi Arabia.;;;367200000
SA-084;SALIC;Agriculture Investment;Riyadh;Saudi investment company focused on food and agriculture assets globally.;www.salic.com.sa;sales@salic.com.sa;1684900000
SA-085;Savvy Games Group;Gaming;Riyadh;Saudi gaming company investing in game development, esports and gaming businesses.;;;14600000
SA-086;stc group subsidiaries;Telecommunications;Riyadh;Group of technology and telecommunications businesses supporting digital services and infrastructure.;;partners@stcgroupsu.com.sa;2458200000
SA-087;Zain KSA;Telecommunications;Riyadh;Saudi telecommunications operator providing mobile, broadband and digital services.;www.zainksa.com.sa;;36160000000
SA-088;Virgin Mobile KSA;Telecommunications;Riyadh;Digital-focused mobile operator serving consumers in Saudi Arabia.;;sales@virginmobi.com.sa;7686500000
SA-089;Alinma Bank;Banking;Riyadh;Saudi Islamic bank providing retail, corporate and investment banking services.;;hello@alinmabank.com.sa;26801000000
SA-090;Saudi Awwal Bank (SAB);Banking;Riyadh;Saudi bank providing corporate, retail and investment banking services.;www.saudiawwal.com.sa;;49631000000
SA-091;Arab National Bank;Banking;Riyadh;Saudi bank serving corporate, retail and investment customers.;;contact@arabnation.com.sa;28982000000
SA-092;GIB Saudi Arabia;Banking;Riyadh;Bank providing corporate and investment banking services in Saudi Arabia.;;;1642600000
SA-093;Alinma Investment;Financial Services;Riyadh;Saudi investment firm providing asset management and investment services.;;contact@alinmainve.com.sa;3125700000
SA-094;Derayah Financial;Financial Services;Riyadh;Saudi financial services company providing investment and brokerage solutions.;www.derayahfin.com.sa;contact@derayahfin.com.sa;322900000
SA-095;SNB Capital;Financial Services;Riyadh;Investment banking and asset management business serving institutional and individual investors.;;;273200000
SA-096;Alawwal Capital;Financial Services;Riyadh;Financial services company providing investment and capital market services.;www.alawwalcap.com.sa;;87300000
SA-097;Asteran;Technology;Riyadh;Technology-focused business providing digital and enterprise solutions.;;;47600000
SA-098;Tamer Group;Healthcare & Consumer;Jeddah;Saudi healthcare and consumer products group with distribution and related businesses.;www.tamergroup.com.sa;;543500000
SA-099;Jamjoom Pharma;Pharmaceuticals;Jeddah;Saudi pharmaceutical manufacturer and distributor serving regional healthcare markets.;;;98500000
SA-100;SPIMACO;Pharmaceuticals;Jeddah;Saudi pharmaceutical company manufacturing and marketing medicines in regional markets.;;sales@spimaco.com.sa;568600000
SA-MOCK-101;Al Technologies 72;Information Technology;Riyadh;Building integrated solutions for the information technology sector nationwide.;www.altechnolo.com.sa;info@altechnolo.com.sa;329800000
SA-MOCK-102;Smart Vision Company 29;Manufacturing;Jeddah;Offers enterprise-grade manufacturing frameworks nationwide backed by years of deep industry expertise.;www.smartvisio.com.sa;;968800000
SA-MOCK-103;Saudi Technologies 94;Hospitality;Jeddah;Specializes in providing tailored hospitality solutions for local SMEs backed by years of deep industry expertise.;www.sauditechn.com.sa;;1610600000
SA-MOCK-104;Saudi Pioneer Technologies 20;Telecommunications;Dammam;Driven by modern innovation, this enterprise focuses on telecommunications technologies across the Saudi market.;www.saudipione.com.sa;;3711200000
SA-MOCK-105;Smart Tech Holdings 69;Telecommunications;Riyadh;Building comprehensive frameworks for the telecommunications sector to enterprise clients.;www.smarttechh.com.sa;;5639000000
SA-MOCK-106;Gulf Logistics 15;Telecommunications;Dammam;Expertly handles cutting-edge telecommunications technologies to enterprise clients with a strong focus on digital transformation.;www.gulflogist.com.sa;hello@gulflogist.com.sa;21632700000
SA-MOCK-107;Global Star Company 36;Construction;Dammam;A pioneer in integrated construction services nationwide backed by years of deep industry expertise.;www.globalstar.com.sa;contact@globalstar.com.sa;96700000
SA-MOCK-108;United Tech Technologies 48;Fintech;Riyadh;A pioneer in agile fintech services nationwide to streamline daily operations.;www.unitedtech.com.sa;;12000000
SA-MOCK-109;United Technologies 68;Retail;Dammam;Operating primarily out of Dammam, they provide retail services across the Saudi market with a strong focus on digital transformation.;www.unitedtech.com.sa;sales@unitedtech.com.sa;3870300000
SA-MOCK-110;Arabian Technologies 23;Manufacturing;Jeddah;Delivering cutting-edge solutions for the manufacturing sector nationwide.;;info@arabiantec.com.sa;6020200000
SA-MOCK-111;Global Group 15;Banking;Riyadh;Leading the way in comprehensive banking technologies nationwide backed by years of deep industry expertise.;www.globalgrou.com.sa;;1577500000
SA-MOCK-112;National Industries 59;Education;Jeddah;A fast-growing education startup building the next generation of technologies to enterprise clients.;;contact@nationalin.com.sa;27300000
SA-MOCK-113;Saudi Company 42;Education;Riyadh;Driven by modern innovation, this enterprise focuses on education solutions in the MENA region.;www.saudicompa.com.sa;;502800000
SA-MOCK-114;Arabian Tech Services 54;Education;Riyadh;Leading the way in comprehensive education platforms to enterprise clients with a strong focus on digital transformation.;;;1458500000
SA-MOCK-115;United Pioneer Solutions 57;Energy;Jeddah;Dedicated to offering scalable energy systems for government entities with a strong focus on digital transformation.;www.unitedpion.com.sa;;1211000000
SA-MOCK-116;Gulf Vision Holdings 40;Information Technology;Riyadh;Dedicated to offering data-driven information technology strategies in the MENA region empowering businesses to grow exponentially.;www.gulfvision.com.sa;;6211300000
SA-MOCK-117;Al Apex Logistics 53;Information Technology;Jeddah;B2B information technology specialists focusing on cutting-edge frameworks with a strong focus on digital transformation.;www.alapexlogi.com.sa;sales@alapexlogi.com.sa;4399700000
SA-MOCK-118;Arabian Group 41;Hospitality;Jeddah;Focuses on delivering agile hospitality solutions to enterprise clients to streamline daily operations.;www.arabiangro.com.sa;hello@arabiangro.com.sa;244800000
SA-MOCK-119;Al Pioneer Logistics 55;Fintech;Jeddah;Focuses on delivering tailored fintech solutions nationwide backed by years of deep industry expertise.;www.alpioneerl.com.sa;contact@alpioneerl.com.sa;55300000
SA-MOCK-120;Smart Pioneer Technologies 30;Healthcare;Riyadh;Expertly handles sustainable healthcare technologies nationwide with a strong focus on digital transformation.;;;137800000
SA-MOCK-121;Saudi Corp 54;Hospitality;Jeddah;A fast-growing hospitality startup building the next generation of frameworks for the B2B sector.;www.saudicorp5.com.sa;info@saudicorp5.com.sa;12300000
SA-MOCK-122;Global Pioneer Logistics 15;Energy;Jeddah;Operating primarily out of Jeddah, they provide energy services to enterprise clients to streamline daily operations.;www.globalpion.com.sa;;38043700000
SA-MOCK-123;Smart Tech Services 76;Retail;Riyadh;A Riyadh-based firm that provides top-tier retail services for large corporations.;www.smarttechs.com.sa;;156600000
SA-MOCK-124;Future Pioneer Company 17;Logistics;Jeddah;Leading the way in scalable logistics platforms for government entities enhancing customer experiences.;;info@futurepion.com.sa;1200900000
SA-MOCK-125;Future Services 33;Logistics;Riyadh;Offers enterprise-grade logistics technologies nationwide enhancing customer experiences.;;contact@futureserv.com.sa;138300000
SA-MOCK-126;Saudi Apex Company 20;Energy;Jeddah;A fast-growing energy startup building the next generation of solutions for large corporations.;;;20357000000
SA-MOCK-127;Future Vision Industries 64;Hospitality;Dammam;Operating primarily out of Dammam, they provide hospitality services for large corporations to streamline daily operations.;www.futurevisi.com.sa;;235800000
SA-MOCK-128;Smart Holdings 97;Construction;Riyadh;Expertly handles data-driven construction systems for government entities to streamline daily operations.;www.smartholdi.com.sa;sales@smartholdi.com.sa;165000000
SA-MOCK-129;United Services 78;Logistics;Dammam;B2B logistics specialists focusing on scalable strategies empowering businesses to grow exponentially.;www.unitedserv.com.sa;sales@unitedserv.com.sa;93300000
SA-MOCK-130;Future Logistics 34;Information Technology;Dammam;An established name in the information technology space, known for scalable services for large corporations.;www.futurelogi.com.sa;partners@futurelogi.com.sa;1935200000
SA-MOCK-131;Global Tech Technologies 17;Education;Riyadh;Develops innovative education systems nationwide with a strong focus on digital transformation.;www.globaltech.com.sa;;14400000
SA-MOCK-132;Global Tech Logistics 93;Education;Jeddah;Transforming the education landscape in Jeddah through comprehensive strategies.;www.globaltech.com.sa;hello@globaltech.com.sa;33500000
SA-MOCK-133;Future Services 24;Banking;Dammam;Expertly handles agile banking systems nationwide driving efficiency and growth.;www.futureserv.com.sa;contact@futureserv.com.sa;6572100000
SA-MOCK-134;Future Oasis Corp 49;Banking;Dammam;Focuses on delivering cutting-edge banking services in the MENA region backed by years of deep industry expertise.;www.futureoasi.com.sa;hello@futureoasi.com.sa;25337800000
SA-MOCK-135;Saudi Company 65;Banking;Dammam;A fast-growing banking startup building the next generation of infrastructure for the B2B sector.;www.saudicompa.com.sa;;8464000000
SA-MOCK-136;Al Tech Company 65;Fintech;Jeddah;Manages agile fintech solutions nationwide aligned closely with Vision 2030 objectives.;www.altechcomp.com.sa;;24700000
SA-MOCK-137;Al Company 53;Retail;Riyadh;Expertly handles enterprise-grade retail strategies for local SMEs enhancing customer experiences.;www.alcompany5.com.sa;partners@alcompany5.com.sa;4039500000
SA-MOCK-138;Gulf Vision Holdings 55;Telecommunications;Dammam;Expertly handles scalable telecommunications services for the B2B sector to streamline daily operations.;;;1023300000
SA-MOCK-139;Gulf Star Company 99;Healthcare;Dammam;Manages data-driven healthcare technologies in the MENA region empowering businesses to grow exponentially.;www.gulfstarco.com.sa;contact@gulfstarco.com.sa;87200000
SA-MOCK-140;Global Pioneer Industries 43;Construction;Jeddah;Operating primarily out of Jeddah, they provide construction services for government entities aligned closely with Vision 2030 objectives.;www.globalpion.com.sa;sales@globalpion.com.sa;146700000
SA-MOCK-141;National Tech Services 77;Construction;Jeddah;Transforming the construction landscape in Jeddah through sustainable platforms.;www.nationalte.com.sa;sales@nationalte.com.sa;344100000
SA-MOCK-142;United Oasis Technologies 29;Logistics;Riyadh;Operating primarily out of Riyadh, they provide logistics services in the MENA region aligned closely with Vision 2030 objectives.;www.unitedoasi.com.sa;hello@unitedoasi.com.sa;53600000
SA-MOCK-143;Al Solutions 95;Education;Dammam;Specializes in providing cutting-edge education platforms across the Saudi market driving efficiency and growth.;;;25400000
SA-MOCK-144;Al Company 98;Healthcare;Dammam;Driven by modern innovation, this enterprise focuses on healthcare systems for government entities.;www.alcompany9.com.sa;partners@alcompany9.com.sa;551200000
SA-MOCK-145;Smart Apex Holdings 19;Manufacturing;Jeddah;Established in Jeddah, this company delivers data-driven manufacturing platforms driving efficiency and growth.;www.smartapexh.com.sa;partners@smartapexh.com.sa;1758300000
SA-MOCK-146;Smart Star Solutions 83;Telecommunications;Jeddah;Transforming the telecommunications landscape in Jeddah through cutting-edge systems.;www.smartstars.com.sa;contact@smartstars.com.sa;733200000
SA-MOCK-147;National Tech Solutions 54;Hospitality;Riyadh;A pioneer in agile hospitality strategies across the Saudi market to streamline daily operations.;www.nationalte.com.sa;;68100000
SA-MOCK-148;Saudi Technologies 81;Energy;Dammam;Offers comprehensive energy systems for the B2B sector empowering businesses to grow exponentially.;www.sauditechn.com.sa;info@sauditechn.com.sa;27547600000
SA-MOCK-149;Future Oasis Logistics 95;Logistics;Dammam;A fast-growing logistics startup building the next generation of technologies across the Saudi market.;www.futureoasi.com.sa;;4550600000
SA-MOCK-150;Future Solutions 31;Healthcare;Dammam;A fast-growing healthcare startup building the next generation of frameworks to enterprise clients.;www.futuresolu.com.sa;info@futuresolu.com.sa;2490600000
SA-MOCK-151;Smart Vision Corp 53;Energy;Jeddah;Driven by modern innovation, this enterprise focuses on energy infrastructure for large corporations.;www.smartvisio.com.sa;;11214600000
SA-MOCK-152;Global Corp 37;Construction;Riyadh;A pioneer in integrated construction technologies across the Saudi market with a strong focus on digital transformation.;www.globalcorp.com.sa;hello@globalcorp.com.sa;672300000
SA-MOCK-153;Smart Star Corp 78;Healthcare;Riyadh;Leading the way in comprehensive healthcare services for the B2B sector backed by years of deep industry expertise.;;info@smartstarc.com.sa;166800000
SA-MOCK-154;National Company 28;Education;Dammam;Operating primarily out of Dammam, they provide education services to enterprise clients aligned closely with Vision 2030 objectives.;;sales@nationalco.com.sa;12000000
SA-MOCK-155;Saudi Holdings 68;Information Technology;Dammam;Driven by modern innovation, this enterprise focuses on information technology services in the MENA region.;www.saudiholdi.com.sa;sales@saudiholdi.com.sa;54800000
SA-MOCK-156;Arabian Corp 45;Healthcare;Jeddah;Expertly handles scalable healthcare systems for the B2B sector backed by years of deep industry expertise.;www.arabiancor.com.sa;hello@arabiancor.com.sa;9375700000
SA-MOCK-157;National Industries 19;Construction;Dammam;Focuses on delivering tailored construction systems for local SMEs empowering businesses to grow exponentially.;;sales@nationalin.com.sa;1180100000
SA-MOCK-158;National Industries 49;Energy;Dammam;Focuses on delivering sustainable energy infrastructure for large corporations with a strong focus on digital transformation.;;hello@nationalin.com.sa;38059100000
SA-MOCK-159;Future Holdings 16;Real Estate;Riyadh;Expertly handles cutting-edge real estate systems for local SMEs backed by years of deep industry expertise.;www.futurehold.com.sa;info@futurehold.com.sa;89000000
SA-MOCK-160;Smart Holdings 39;Information Technology;Riyadh;Manages integrated information technology systems for the B2B sector backed by years of deep industry expertise.;www.smartholdi.com.sa;;1262400000
SA-MOCK-161;Gulf Star Corp 48;Retail;Riyadh;Offers sustainable retail platforms for large corporations aligned closely with Vision 2030 objectives.;www.gulfstarco.com.sa;;503100000
SA-MOCK-162;Gulf Tech Corp 26;Hospitality;Jeddah;B2B hospitality specialists focusing on integrated solutions driving efficiency and growth.;www.gulftechco.com.sa;;479600000
SA-MOCK-163;Al Corp 32;Real Estate;Jeddah;Leading the way in tailored real estate infrastructure in the MENA region enhancing customer experiences.;www.alcorp32.com.sa;info@alcorp32.com.sa;395400000
SA-MOCK-164;Future Oasis Technologies 71;Healthcare;Jeddah;A Jeddah-based firm that deploys top-tier healthcare systems in the MENA region.;;sales@futureoasi.com.sa;14949700000
SA-MOCK-165;United Star Holdings 21;Construction;Jeddah;Specializes in providing innovative construction frameworks for the B2B sector to streamline daily operations.;;;57500000
SA-MOCK-166;United Technologies 88;Manufacturing;Riyadh;Offers enterprise-grade manufacturing platforms for large corporations with a strong focus on digital transformation.;;contact@unitedtech.com.sa;1543000000
SA-MOCK-167;National Apex Company 84;Real Estate;Riyadh;A Riyadh-based firm that builds top-tier real estate services in the MENA region.;www.nationalap.com.sa;partners@nationalap.com.sa;3212800000
SA-MOCK-168;National Group 99;Real Estate;Dammam;Driven by modern innovation, this enterprise focuses on real estate infrastructure to enterprise clients.;www.nationalgr.com.sa;partners@nationalgr.com.sa;7277800000
SA-MOCK-169;Smart Logistics 12;Healthcare;Dammam;One of the key healthcare entities in Dammam, offering agile services to streamline daily operations.;www.smartlogis.com.sa;partners@smartlogis.com.sa;3788700000
SA-MOCK-170;Future Star Solutions 81;Construction;Dammam;Delivering data-driven solutions for the construction sector nationwide.;;contact@futurestar.com.sa;1195700000
SA-MOCK-171;Global Star Corp 20;Hospitality;Jeddah;Manages tailored hospitality services for large corporations to streamline daily operations.;www.globalstar.com.sa;;668900000
SA-MOCK-172;Future Solutions 97;Real Estate;Jeddah;An established name in the real estate space, known for integrated infrastructure for government entities.;;sales@futuresolu.com.sa;7838200000
SA-MOCK-173;Global Logistics 76;Construction;Dammam;Offers tailored construction solutions for local SMEs aligned closely with Vision 2030 objectives.;www.globallogi.com.sa;;218700000
SA-MOCK-174;National Oasis Solutions 60;Manufacturing;Dammam;Expertly handles data-driven manufacturing frameworks for large corporations to streamline daily operations.;www.nationaloa.com.sa;contact@nationaloa.com.sa;3097000000
SA-MOCK-175;Al Group 42;Banking;Jeddah;One of the key banking entities in Jeddah, offering enterprise-grade frameworks driving efficiency and growth.;www.algroup42.com.sa;contact@algroup42.com.sa;31669500000
SA-MOCK-176;Al Tech Industries 20;Healthcare;Riyadh;Specializes in providing cutting-edge healthcare technologies across the Saudi market aligned closely with Vision 2030 objectives.;www.altechindu.com.sa;sales@altechindu.com.sa;7640200000
SA-MOCK-177;Saudi Star Corp 15;Education;Jeddah;B2B education specialists focusing on data-driven platforms with a strong focus on digital transformation.;;info@saudistarc.com.sa;91200000
SA-MOCK-178;Smart Oasis Logistics 94;Education;Jeddah;One of the key education entities in Jeddah, offering data-driven services driving efficiency and growth.;www.smartoasis.com.sa;info@smartoasis.com.sa;659200000
SA-MOCK-179;Future Services 52;Construction;Jeddah;Develops scalable construction infrastructure for the B2B sector backed by years of deep industry expertise.;www.futureserv.com.sa;sales@futureserv.com.sa;2586300000
SA-MOCK-180;Global Logistics 42;Education;Dammam;A Dammam-based firm that provides top-tier education infrastructure for government entities.;www.globallogi.com.sa;;208000000
SA-MOCK-181;Al Industries 78;Telecommunications;Riyadh;Driven by modern innovation, this enterprise focuses on telecommunications platforms for government entities.;;partners@alindustri.com.sa;7111800000
SA-MOCK-182;Gulf Industries 84;Manufacturing;Jeddah;Develops tailored manufacturing systems for the B2B sector empowering businesses to grow exponentially.;;;679200000
